ticker,news_sentiment_7d,news_sentiment_30d,news_sentiment_trend,news_volume_7d,news_volume_ratio,news_positive_pct,news_negative_pct,filing_count_30d,filing_sentiment,has_8k_recent,filing_risk_sentiment,mgmt_outlook,fda_event_recent,fda_sentiment,clinical_trial_active,regulatory_risk,days_to_earnings,earnings_surprise_last,guidance_sentiment,event_risk_score,sentiment_confidence,composite_sentiment
BBY,-0.3624300321098417,-0.3624300321098417,0.0,10,4.28,20.0,50.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,5.831691117436677,0,0.23251399357803165,0.8,-0.11810297456228958
BDX,-0.09865728938685996,-0.1246962835546583,0.02603899416779834,7,2.996,20.0,40.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,3.8818246074980562,0,0.40526854212262803,0.8,-0.028707314374153897
BEN,0.4943857196718454,0.4943857196718454,0.0,10,4.28,70.0,20.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,28.6418321495869,0,0.2661228560656309,0.8,0.21599775010952624
BF-B,-0.6746096568596032,-0.5508415288291871,-0.12376812803041604,9,3.852,10.0,70.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,24.67755803955287,0,0.17007806862807934,0.8,-0.1990970428415318
BG,0.13293670509010552,0.13293670509010552,0.0,10,4.28,30.0,20.0,4,0.0007090583443641662,1,0.0,0.0003545291721820831,0,0,0,0.3,90,50.0,0,0.45841265898197886,0.8,0.12174056428484617
BIIB,0.11351979244500399,0.11351979244500399,0.0,10,4.28,40.0,30.0,4,-0.0021985761821269986,1,0.0,-0.0010992880910634993,0,0,0,0.3,90,23.60768237326749,0,0.4622960415109992,0.3,0.07448387806101453
BK,0.4384740734738963,0.4996376012451947,-0.06116352777129841,7,2.996,60.0,0.0,3,0.006151705235242844,1,0.0,0.0,0,0,0,0.3,90,16.541061300598244,0,0.33730518530522074,0.8,0.1801230292373339
BKNG,0.177209232468158,0.177209232468158,0.0,10,4.28,50.0,30.0,5,-0.0026382914185523985,1,0.0,-0.0013191457092761993,0,0,0,0.3,90,5.671010919337797,0,0.5095581535063685,0.3,0.06973826031729627
BKR,0.44040107894688846,0.44040107894688846,0.0,10,4.28,70.0,20.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,17.494530427031833,0,0.2769197842106223,0.8,0.18038217327195868
BLDR,-0.08010688796639442,-0.3813812961801887,0.30127440821379425,5,2.14,10.0,60.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-12.254587048150295,0,0.22897862240672112,0.8,-0.04641929136046349
BLK,0.23693031966686248,0.23693031966686248,0.0,10,4.28,50.0,20.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,8.997466874512854,0,0.19761393606662753,0.8,0.09642181219517114
BMY,0.45840150909498334,0.45840150909498334,0.0,10,4.28,50.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,4.570389981160727,0,0.15331969818100333,0.8,0.16729611315498527
BR,0.19994956125608748,0.08344542146660387,0.11650413978948361,9,3.852,40.0,30.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,16.808698207464012,0,0.2050100877487825,0.8,0.09519539375082663
BRK-B,-0.2098880222067237,-0.2098880222067237,0.0,10,4.28,20.0,40.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,-8.484726485833615,0,0.26302239555865525,0.8,-0.08618789750110371
BRO,0.6019129580818117,0.6019129580818117,0.0,10,4.28,60.0,0.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,2.2984022314298866,0,0.30461740838363766,0.8,0.21411713867577892
BSX,-0.2816648091189563,-0.2816648091189563,0.0,10,4.28,20.0,60.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,1.6234343639643318,0,0.24866703817620872,0.8,-0.0961475316456882
BX,-0.11728723999112844,-0.11728723999112844,0.0,10,4.28,30.0,50.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,1.6875649566706445,0,0.2815425520017743,0.8,-0.03851918656188899
BXP,0.39752543028444054,0.39752543028444054,0.0,10,4.28,50.0,10.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,50.0,0,0.22549491394311189,0.8,0.21413390059955417
C,0.23315915251150726,0.23315915251150726,0.0,10,4.28,60.0,30.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,17.91440863693962,0,0.19836816949769853,0.8,0.10847731633443697
CAG,-0.2964087291620672,-0.1498480696696788,-0.14656065949238836,6,2.568,30.0,50.0,3,0.0,0,0.0,0.0,0,0,0,0.3,90,-2.607132154629908,0,0.3657182541675866,0.8,-0.10765375343866836
CAH,0.2441946522332728,0.2441946522332728,0.0,10,4.28,50.0,10.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,11.171229055002275,0,0.19616106955334545,0.8,0.10222497186414889
CARR,0.007170405355282128,0.031173840630799532,-0.024003435275517404,8,3.424,20.0,20.0,1,0.0010635875165462493,1,0.0,0.0005317937582731247,0,0,0,0.3,90,-4.537286612758297,0,0.3035659189289436,0.8,-0.003977211789824827
CASY,0.3281896721261243,0.21136499652639032,0.116824675599734,6,2.568,40.0,20.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,16.87446209282311,0,0.17936206557477513,0.8,0.14017807838337815
CAT,0.3679950078949332,0.3679950078949332,0.0,10,4.28,40.0,0.0,2,0.0014181166887283325,0,0.0,0.0007090583443641662,0,0,0,0.3,90,9.506013280787434,0,0.29140099842101336,0.8,0.14348270769102628
CB,0.28029081793501975,0.28029081793501975,0.0,10,4.28,50.0,30.0,2,0.0010635875165462493,1,0.0,0.0005317937582731247,0,0,0,0.3,90,3.2405732425260405,0,0.30894183641299605,0.8,0.10328172239600984
CBOE,0.4041911634616554,0.4041911634616554,0.0,10,4.28,60.0,30.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,3.762580365135771,0,0.1641617673076689,0.8,0.14711077775928302
CBRE,0.7592672683298588,0.7592672683298588,0.0,10,4.28,90.0,0.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,42.05297428929397,0,0.27314654633402824,0.8,0.3288230053493915
CCEP,0.8908302811905742,0.8908302811905742,0.0,2,4.28,60.0,0.0,10,0.0,0,0.0,0.0,0,0,0,0.3,90,0.0,0,0.36683394376188516,0.8,0.3117905984167009
CCI,0.43160279881623054,0.4816781558096409,-0.05007535699341037,9,3.852,50.0,0.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,13.713581924743048,0,0.2186794402367539,0.8,0.17163135247279526
CCL,-0.029627547319978475,-0.029627547319978475,0.0,10,4.28,30.0,50.0,1,0.0010635875165462493,1,0.0,0.0005317937582731247,0,0,0,0.3,90,8.938395337436683,0,0.29907449053600427,0.3,0.003357027699126434
CDNS,0.5556370430625975,0.5556370430625975,0.0,10,4.28,70.0,10.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,3.975470276808166,0,0.19387259138748048,0.8,0.20043617048712137
CDW,0.26141717936843634,0.3180381209589541,-0.05662094159051778,4,1.712,40.0,10.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,5.130533670405535,0,0.19271656412631272,0.8,0.09919181328456102
CEG,0.13867854070849717,0.13867854070849717,0.0,10,4.28,20.0,20.0,2,0.003998185601085425,1,0.0,0.0019990928005427125,0,0,0,0.3,90,2.4143059427014193,0,0.3372642918583006,0.8,0.053358403842351756
CF,0.4635075978934765,0.4635075978934765,0.0,10,4.28,70.0,20.0,0,0.0021271750330924986,0,0.0,0.0,0,0,0,0.3,90,10.408682641112103,0,0.1522984804213047,0.8,0.17847883573431267
CFG,0.03889784275088459,-0.05010318113490939,0.08900102388579398,8,3.424,30.0,40.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,3.7334875565714696,0,0.3572204314498231,0.8,0.019214476297666813
CHD,0.04253925534430891,-0.008889191877096891,0.051428447221405806,8,3.424,40.0,40.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,3.0174530731543627,0,0.23649214893113824,0.8,0.019414918980239664
CHRW,0.1913189822807908,0.1913189822807908,0.0,10,4.28,30.0,10.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,9.215865602329943,0,0.26673620354384187,0.8,0.0807854422017717
CHTR,-0.34852822292596103,-0.34852822292596103,0.0,10,4.28,20.0,60.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,-9.065035853365636,0,0.35529435541480775,0.8,-0.1355824318041348
CI,0.006188357435166836,0.006188357435166836,0.0,10,4.28,20.0,30.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,2.5015191283311404,0,0.30376232851296664,0.8,0.005918203794805103
CIEN,0.41574508547782896,0.41574508547782896,0.0,10,4.28,60.0,10.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,15.549545077161417,0,0.22185098290443422,0.8,0.16883509753298226
CINF,0.5282037534750998,0.5282037534750998,0.0,10,4.28,60.0,0.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,8.23961157442247,0,0.25935924930498,0.8,0.19723073107791864
CL,0.03696143142879009,0.03696143142879009,0.0,10,4.28,50.0,40.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,4.188372577620331,0,0.297607713714242,0.8,0.019219059866507026
CLX,-0.43419391810894015,-0.3764096537604928,-0.057784264348447356,5,2.14,20.0,60.0,1,-0.008794304728507995,0,0.0,-0.004397152364253997,0,0,0,0.3,90,-3.036560099893275,0,0.21816121637821195,0.8,-0.15916100290652135
CMCSA,-0.19003028189763427,-0.19003028189763427,0.0,10,4.28,30.0,50.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,8.299289885668856,0,0.3269939436204731,0.8,-0.054061663835668704
CME,-0.21965529704466463,-0.21965529704466463,0.0,10,4.28,30.0,60.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,-0.25263395388466237,0,0.38106894059106705,0.8,-0.0772583048964596
CMG,0.40743521228432655,0.40743521228432655,0.0,10,4.28,60.0,10.0,2,0.0,1,0.0,0.0,0,0,0,0.3,90,4.892170848367879,0,0.28351295754313466,0.8,0.1499405805720661
CMI,0.047947146308918796,0.009526691865175962,0.038420454443742834,9,3.852,40.0,50.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-14.889036830922201,0,0.23541057073821625,0.8,-0.005552054038261724
